"pair","type","cosine_similarity","prompt_similarity"
"glass-stupid","unrelated",0.233189680664031,0
"camp-village","related",0.351279781299305,0.678
"attention-attract","related",0.391834038201755,0.245
"engineer-voter","unrelated",0.240252344726749,0.112
"influence-triple","unrelated",0.217214040824832,0.2
"project-program","related",0.608683849654066,0.754
"ambulance-strawberry","unrelated",0.213927930146249,0
"congratulate-greet","related",0.551098546258828,0.615
"physics-walk","unrelated",0.229607302667251,0.112
"man-human","related",0.704913127995815,1
"back-return","related",0.555113333368815,0.245
"lemonade-gentle","unrelated",0.195068535748666,0
"explanation-glory","unrelated",0.265025551760559,0.112
"sheriff-mayor","related",0.418435604047731,0.726
"lower-upper","related",0.503484652389502,0.5
"mail-fax","related",0.547897955961687,0.75
"turn-patrol","unrelated",0.298536238342862,0.125
"birth-still","unrelated",0.266902250759671,0.1
"desk-steel","unrelated",0.306059890600085,0.215
"property-heavenly","unrelated",0.288602443863782,0.112
"sunset-dawn","related",0.498657311022865,0.8
"lip-cheek","related",0.449693821845826,0.743
"pump-assist","unrelated",0.321567654293883,0.111
"normally-dream","unrelated",0.334112798193655,0.12
"fool-store","unrelated",0.224950707382688,0.045
"absolutely-rob","unrelated",0.187475920068777,0
"agent-western","unrelated",0.288211486881808,0.145
"vagina-division","unrelated",0.28998202405052,0
"ufo-alien","related",0.447170042038656,0.822
"exit-liar","unrelated",0.233659240506692,0.1
"secretary-artificial","unrelated",0.207859317707367,0.135
"future-chew","unrelated",0.197859850731086,0
"sword-individual","unrelated",0.246537982230396,0.112
"rifle-letter","unrelated",0.234240594613338,0.112
"nest-last","unrelated",0.44166057252882,0.1
"clearly-obviously","related",0.765942048301131,0.2
"lasagna-path","unrelated",0.256455203551178,0.045
"deserve-specialist","unrelated",0.270601745718182,0
"snail-turtle","related",0.459795190261661,0.564
"coffin-funeral","related",0.540442850737566,0.85
"seminar-lecture","related",0.43599047233846,0.8
"dna-fingerprint","related",0.318012693477242,0.654
"simply-catch","unrelated",0.273231413064707,0.112
"inspire-inspiration","related",0.72917332990703,0.865
"cabin-deck","related",0.459470989274372,0.5
"atomic-nuclear","related",0.505838699422108,0.889
"hearing-carpet","unrelated",0.268846487995181,0
"slave-tornado","unrelated",0.222298474458017,0
"eternal-transfer","unrelated",0.204634822685246,0
"out-gift","unrelated",0.297734735162152,0.112
"scary-creepy","related",0.68426469706145,0.8
"sea-ocean","related",0.462589354747083,0.95
"propose-suggest","related",0.572645771408017,0.85
"financially-financing","related",0.577152603563945,0.75
"navigation-kingdom","unrelated",0.278523228204176,0.112
"relationship-oil","unrelated",0.26313382457259,0.112
"bring-legal","unrelated",0.262176981751314,0
"monkey-gorilla","related",0.539697438224248,0.9
"victory-knife","unrelated",0.199751728891202,0
"secret-mystery","related",0.470135196849661,0.8
"service-verify","unrelated",0.33254058262304,0.2
"disgusting-ugly","related",0.575864631465633,0.754
"spoon-fork","related",0.395108162365471,0.85
"two-fast","unrelated",0.238111856085657,0
"lipstick-perfume","related",0.413313221685212,0.752
"daily-donation","unrelated",0.26399628058319,0.123
"exciting-directly","unrelated",0.169872346635709,0
"surgeon-doctor","related",0.515718372970883,0.9
"soft-gentle","related",0.538514806104445,0.8
"hope-blue","unrelated",0.288049557905273,0.1
"earthquake-disgusting","unrelated",0.186749092061761,0
"word-sentence","related",0.444385190652227,0.823
"desert-valley","related",0.437198830478534,0.432
"admire-telephone","unrelated",0.158293106632963,0
"waste-trial","unrelated",0.297169079972068,0.15
"trash-garbage","related",0.594070900964478,1
"quantity-go","unrelated",0.328381953681706,0.1
"opposite-contrary","related",0.735556819863107,0.8
"shower-failure","unrelated",0.214427198466252,0
"hurricane-tornado","related",0.585660218866949,0.8
"technical-venus","unrelated",0.17794233358571,0.1
"bone-skull","related",0.405329120277447,0.85
"ill-decade","unrelated",0.200149429761143,0
"senior-real","unrelated",0.31107112482088,0.1
"preparation-prison","unrelated",0.303678466367607,0.084
"software-computer","related",0.560238416787304,0.875
"philosophy-married","unrelated",0.149463714339377,0.2
"elsewhere-somewhere","related",0.534445441037253,0.8
"competition-championship","related",0.414654241265562,0.872
"mother-paranormal","unrelated",0.182995590975257,0.1
"software-hungry","unrelated",0.207469546520746,0
"radio-rabbit","unrelated",0.410604390071363,0.037
"popular-famous","related",0.546014201236986,0.8
"expert-vodka","unrelated",0.175027364437484,0.112
"worried-nervous","related",0.467270017852579,0.875
"disgusting-pressure","unrelated",0.180346877851228,0
"doll-toy","related",0.55892106970677,0.9
"good-bad","related",0.612197289027116,0
"total-complete","related",0.629509491906062,0.754
"credit-loan","related",0.509893399331918,0.874
"bomb-explosive","related",0.543316312306616,0.9
"hotel-juliet","unrelated",0.269819360309717,0
"fake-explosion","unrelated",0.20447853960797,0.05
"move-cigar","unrelated",0.273447720673621,0.025
"elsewhere-criminal","unrelated",0.26386197083284,0
"finally-eventually","related",0.493708374487267,0.875
"anniversary-explosive","unrelated",0.251998611831956,0
"forgive-excuse","related",0.600940629649637,0.772
"guard-horrible","unrelated",0.166496374121342,0
"radar-lunch","unrelated",0.215752024277708,0.05
"noble-brave","related",0.457898504265569,0.556
"cinnamon-battalion","unrelated",0.236775375750388,0
"revenge-justice","related",0.37151914128483,0.85
"just-recently","related",0.46731405553757,0
"member-leader","related",0.638449863569305,0.617
"slow-fast","related",0.563562353416892,0.212
"ash-dust","related",0.464032612990591,0.765
"listen-mountain","unrelated",0.226086214226579,0
"witness-testimony","related",0.690079952443317,0.875
"nobel-prize","related",0.516955100994228,0.9
"secret-civilization","unrelated",0.140328126930105,0.2
"weight-helicopter","unrelated",0.227501686848363,0.112
"channel-news","related",0.332842033308447,0.732
"bible-lobster","unrelated",0.200368760128475,0
"invasion-attack","related",0.507896708172207,0.717
"channel-stroll","unrelated",0.165308885330976,0.102
"top-bottom","related",0.738922989493685,0.75
"rest-sleep","related",0.458861084828975,0.835
"comfortable-pleasant","related",0.550798644141822,0.726
"spinal-abdominal","related",0.43301381699205,0.743
"skirt-dress","related",0.464798813466225,0.85
"healthy-excuse","unrelated",0.240997778099702,0.2
"push-very","unrelated",0.285701484476609,0
"cover-hide","related",0.555151167312862,0.75
"value-skull","unrelated",0.213138209138321,0.112
"follow-chase","related",0.406413717148081,0.8
"monday-tuesday","related",0.662919672015381,0.9
"steal-rob","related",0.352553220493564,0.9
"big-huge","related",0.829024703205585,1
"frequency-calm","unrelated",0.214902823027436,0.112
"widow-woman","related",0.483505064281396,0.8
"cocaine-wire","unrelated",0.239515453008869,0
"voice-approval","unrelated",0.35662811744391,0.15
"eye-ear","related",0.649116778136451,0.754
"proud-excited","related",0.541313388194529,0.234
"wine-dark","unrelated",0.327103916059056,0.112
"toilet-sink","related",0.424036774416782,0.75
"agent-detective","related",0.441849137870326,0.689
"trouble-problem","related",0.539845297596727,0.9
"dig-bury","related",0.362031605890637,0.8
"arrive-come","related",0.556804657808291,0.85
"open-close","related",0.610444339568315,0.2
"briefcase-ability","unrelated",0.233248949652778,0.1
"glass-bottle","related",0.498835561859329,0.812
"parliament-freeze","unrelated",0.109801707133628,0
"suddenly-unexpectedly","related",0.681498419264391,0.85
"christmas-armory","unrelated",0.142195660096967,0.045
"telescope-cut","unrelated",0.177907650440934,0.1
"seller-joy","unrelated",0.278778891012589,0.112
"humble-modest","related",0.72685642774063,0.887
"surprise-scar","unrelated",0.331580993677928,0.072
"read-write","related",0.571295485585495,0.8
"pocket-alien","unrelated",0.20821156561544,0.1
"low-high","related",0.638997974441638,0.2
"iron-metal","related",0.668398209604972,0.9
"quiet-calm","related",0.628506231965622,0.85
"power-energy","related",0.60453375826071,0.8
"celebrity-star","related",0.428993044964526,0.75
"character-personality","related",0.520803464979162,0.85
"cocaine-heroin","related",0.632465209001709,0.9
"question-ask","related",0.632845163491034,0.654
"extremely-very","related",0.591171776784237,0
"inability-unable","related",0.666742667825648,0.8
"consider-think","related",0.73141768700472,0.8
"active-activity","related",0.580054647633603,0.75
"hate-love","related",0.37310006182652,0.843
"live-survive","related",0.426143480466342,0.8
"south-schedule","unrelated",0.20806246867513,0.112
"tank-engine","related",0.46197615718022,0.623
"button-press","related",0.524504760466445,0.3
"arsenal-armory","related",0.345581696519094,0.9
"bear-wolf","related",0.535509650870037,0.8
"hunger-thirst","related",0.647003254293523,0.754
"carbon-hydrogen","related",0.429329706114177,0.85
"princess-gather","unrelated",0.233500140145394,0.112
"late-early","related",0.646225828744294,0
"method-technique","related",0.544534614100518,0.85
"southern-western","related",0.482265123215052,0.2
"manage-chest","unrelated",0.268022658923213,0
"warning-audience","unrelated",0.292553466353781,0.203
"article-spirit","unrelated",0.309373315350934,0.138
"what-administrative","unrelated",0.207674504735371,0
"reporter-swim","unrelated",0.214845591784911,0.042
"tournament-match","related",0.565332083333246,0.875
"congratulate-animal","unrelated",0.167475130611756,0
"interrupt-bruise","unrelated",0.277928027377668,0.05
"competition-oath","unrelated",0.223777379850591,0.105
"lawyer-dance","unrelated",0.232354627385326,0.05
"dinner-breakfast","related",0.579937665137799,0.75
"amateur-rear","unrelated",0.259650487481944,0.112
"dude-democracy","unrelated",0.258592606234715,0.15
"slave-servant","related",0.596882761374875,0.6
"pound-dollar","related",0.530528399849072,0.8
"autograph-subject","unrelated",0.276282530931408,0.132
"text-poem","related",0.372846220638833,0.675
"pride-turkey","unrelated",0.235927274535632,0.112
"monk-priest","related",0.516516736330356,0.835
"gallery-drug","unrelated",0.30380483556952,0.05
"refuse-accept","related",0.420006123378798,0
"producer-north","unrelated",0.248230169869886,0.125
"english-reduce","unrelated",0.220108283927943,0
"size-length","related",0.610454163572325,0.783
"ill-sick","related",0.381423852922013,0.9
"forbidden-outcome","unrelated",0.231408598539168,0.122
"okay-yeah","related",0.574279822257665,0.1
"ring-necklace","related",0.448472854018311,0.678
"thin-thick","related",0.634128510949152,0.2
"honey-butter","related",0.526222206201077,0.532
"badge-uniform","related",0.4132628887529,0.75
"arrive-unpleasant","unrelated",0.208183420443388,0
"engagement-fantastic","unrelated",0.205598110674749,0
"climb-funding","unrelated",0.193081528228309,0.112
"advice-length","unrelated",0.261727412129326,0.112
"dragon-absence","unrelated",0.109543760282037,0
"ordinary-signature","unrelated",0.299033124857561,0.112
"coal-highness","unrelated",0.136798855352717,0
"dramatic-package","unrelated",0.286701916205837,0.112
"urgent-remember","unrelated",0.332037656648376,0.112
"impossible-university","unrelated",0.207448867080673,0
"strong-surface","unrelated",0.260065130893653,0.234
"career-lock","unrelated",0.230534879242702,0.045
"suffer-charming","unrelated",0.181966421435254,0
"model-emergency","unrelated",0.234851816581522,0.2
"capsule-probe","related",0.280225203658554,0.211
"silent-fishing","unrelated",0.16379942918651,0
"shark-password","unrelated",0.242378778003873,0.001
"farmer-blackmail","unrelated",0.201262347534659,0
"layer-let","unrelated",0.474572961816984,0.111
"helpless-powerless","related",0.768737810035608,0.9
"court-substitute","unrelated",0.310882641353017,0.215
"conservative-toy","unrelated",0.21917069354891,0.1
"bonus-sunday","unrelated",0.326642466366292,0.105
"espionage-black","unrelated",0.182374104043395,0.112
"taxi-modest","unrelated",0.23046488429042,0
"miserable-discussion","unrelated",0.187789865667711,0.112
"phase-small","unrelated",0.242688732045404,0.112
"goose-duck","related",0.515169933642011,0.85
"chancellor-president","related",0.473749472817332,0.8
"finger-garage","unrelated",0.278710209878928,0.05
"atomic-valley","unrelated",0.185945077611839,0.045
"shine-machine","unrelated",0.194168642203624,0.1
"arrange-organize","related",0.6538193484159,0.8
"punish-race","unrelated",0.259632747710516,0.1
"badge-knew","unrelated",0.286508991776479,0
"wall-fence","related",0.41986678361706,0.8
"imagination-fleet","unrelated",0.163536679926593,0.1
"actually-really","related",0.48005621780572,0.8
"officially-official","related",0.670235929047986,0.847
"beach-coast","related",0.540543225799466,0.85
"chain-rope","related",0.339932530629783,0.765
"dna-scandal","unrelated",0.171200012726856,0.1
"trailer-van","related",0.246745923199515,0.734
"chaos-bro","unrelated",0.262635516196903,0.1
"ignorance-arrogance","related",0.50895386582451,0.4
"hair-watson","unrelated",0.184326093899247,0
"climb-jump","related",0.420686614501341,0.654
"radius-perimeter","related",0.450289420490922,0.654
"widow-van","unrelated",0.256220017242682,0
"navigation-communication","related",0.33707324590518,0.3
"live-ship","unrelated",0.249256186920429,0.112
"protect-structure","unrelated",0.42060989704354,0.134
"universe-galaxy","related",0.501413521555681,0.85
"unit-division","related",0.583476320211607,0.679
"dynasty-tell","unrelated",0.274775816030091,0
"governor-jacket","unrelated",0.286151302202624,0.1
"expensive-cheap","related",0.542817114005639,0.8
"sensor-transmitter","related",0.376047770537715,0.823
"right-french","unrelated",0.27058615395165,0.1
"honey-calculate","unrelated",0.24264276231234,0
"hunting-fishing","related",0.585454737553551,0.785
"ridiculous-ear","unrelated",0.217720510959592,0
"unfortunate-something","unrelated",0.297480530540607,0
"responsibility-duty","related",0.605196739871908,0.875
"never-ever","related",0.693398457413126,0.1
"satisfied-happy","related",0.610923972715447,0.878
"superman-batman","related",0.563936961115638,0.9
"shark-fish","related",0.4061167925396,0.875
"report-cap","unrelated",0.309568753328775,0.05
"gunpowder-dynamite","related",0.416122056218838,0.875
"sugar-ever","unrelated",0.213217718686339,0
"lunar-solar","related",0.515261871106305,0.872
"create-produce","related",0.517273990020707,0.85
"white-black","related",0.551485128727585,0.5
"normally-usually","related",0.738535156290658,0.85
"million-billion","related",0.596216770119456,0.9
"church-prize","unrelated",0.200418953831227,0.1
"land-style","unrelated",0.158950780189712,0.112
"alone-fluid","unrelated",0.209389573199527,0.045
"glasses-hear","unrelated",0.286893135125826,0
"boys-girls","related",0.718739969397651,0.9
"jazz-coast","unrelated",0.238920069743365,0.112
"majority-vote","related",0.329201484056268,0.875
"lunar-raccoon","unrelated",0.263200333762466,0.025
"motive-flower","unrelated",0.180360503056417,0.05
"complaint-city","unrelated",0.21809749614744,0.112
"caliber-bullet","related",0.432465813348215,0.75
"front-really","unrelated",0.327002017252012,0
"ambassador-insect","unrelated",0.189125081019651,0
"jeep-truck","related",0.464257363345822,0.875
"culture-nervous","unrelated",0.235243452006556,0.1
"tasty-fingerprint","unrelated",0.260081850043616,0
"bay-harbor","related",0.427002609622172,0.825
"stick-hammer","related",0.447264104068949,0.3
"nightmare-perfume","unrelated",0.191534119950013,0.052
"dean-wealth","unrelated",0.2798680158168,0.112
"seminar-meat","unrelated",0.231831949496806,0
"naturally-generally","related",0.470328831460344,0.1
"equipment-equip","related",0.752503412743066,0.2
"follow-circus","unrelated",0.233515147791116,0.05
"therapy-treatment","related",0.605758750449683,0.8
"mistress-particle","unrelated",0.195846572033509,0
"plus-minus","related",0.554701456277723,0.8
"dessert-cake","related",0.493168755383878,0.875
"blood-urine","related",0.36241875136171,0.758
"budget-funding","related",0.518943651284684,0.845
"impression-metal","unrelated",0.228117743958402,0.1
"paradise-hell","related",0.403337067864039,0.8
"suicide-signal","unrelated",0.273615305242599,0.1
"blanket-towel","related",0.518999152525617,0.432
"question-devil","unrelated",0.248835243292802,0.1
"chancellor-technique","unrelated",0.12761838193975,0.112
"pride-dignity","related",0.590232136287143,0.822
"enough-sufficient","related",0.765378907659714,1
"propose-gram","unrelated",0.215206457897394,0
"refuge-television","unrelated",0.186148530701408,0.1
"rum-cognac","related",0.246217546449377,0.85
"marathon-race","related",0.353930294640555,0.8
"compliment-gift","related",0.402449766842018,0.623
"student-definition","unrelated",0.275721527585788,0.2
"naïve-sip","unrelated",0.173837343381653,0
"rhythm-style","related",0.451231807423225,0.564
"lawyer-prosecutor","related",0.503661706127269,0.75
"cinema-theater","related",0.544272500010412,0.877
"campaign-election","related",0.475773639473329,0.873
"heat-temperature","related",0.613846089133197,0.902
"poverty-misery","related",0.490889584062713,0.825
"magic-wallet","unrelated",0.323551632268993,0.1
"narrow-forever","unrelated",0.134230913184392,0
"popular-informant","unrelated",0.218069727153186,0
"room-friendship","unrelated",0.272833731536106,0.125
"chain-determination","unrelated",0.178655615640646,0.1
"operate-surgery","related",0.34036620061049,0.75
"cloth-handkerchief","related",0.481726397624687,0.81
"personal-intimate","related",0.532173771462588,0.712
"sherlock-battle","unrelated",0.239629216744351,0.1
"uncle-watch","unrelated",0.308142745153293,0.075
"combat-fight","related",0.778681237670433,0.9
"capacity-ability","related",0.562289548132131,0.8
"finance-suspect","unrelated",0.230197760627086,0.103
"spring-fork","unrelated",0.50634823724093,0.112
"africa-america","related",0.511279550001758,0.525
"idea-theory","related",0.599568466413417,0.8
"slow-government","unrelated",0.242865147622465,0.112
"learn-teach","related",0.550893381380108,0.887
"frequency-signal","related",0.41199813188607,0.35
"cook-energy","unrelated",0.210318486522058,0.15
"critical-boss","unrelated",0.318966241808941,0.117
"hostage-produce","unrelated",0.20496553091235,0
"project-fear","unrelated",0.266067571961621,0.102
"nothing-something","related",0.622022819489822,0.5
"member-ultimate","unrelated",0.358677465861623,0.135
"compass-map","related",0.484934980937407,0.825
"nail-tooth","related",0.519069619496295,0.2
"royal-kingdom","related",0.51403709898035,0.875
"mouse-rat","related",0.421741141279232,0.9
"tuna-temperature","unrelated",0.277636874684107,0.045
"enter-neck","unrelated",0.495793883298811,0
"international-world","related",0.447317027874634,0.8
"lesbian-gay","related",0.546774140197749,0.9
"trouble-senator","unrelated",0.18732535853849,0.233
"loyal-nuclear","unrelated",0.24341172644537,0
"area-zone","related",0.613930597865018,0.865
"genius-past","unrelated",0.1924252754444,0
"medical-hat","unrelated",0.354894196786169,0.02
"influence-effect","related",0.508234855551002,0.872
"extra-painter","unrelated",0.219601042307903,0.1
"sober-drunk","related",0.601809124043513,0.8
"concrete-steel","related",0.421256749329654,0.6
"hotel-motel","related",0.532300524613407,0.8
"arrival-departure","related",0.605291458568444,0.8
"interrupt-disturb","related",0.520758600403823,0.8
"box-cardinal","unrelated",0.257244594273625,0.1
"forget-remember","related",0.658567072645279,0.8
"fox-repair","unrelated",0.255834663372347,0.1
"church-chapel","related",0.526587275376151,0.872
"circle-triangle","related",0.636970506810514,0.564
"third-do","unrelated",0.264219384533822,0
"situation-sale","unrelated",0.311001774473694,0.3
"saturday-product","unrelated",0.266078916497703,0.112
"wall-manipulate","unrelated",0.210166813367902,0
"proceed-continue","related",0.614037542251126,0.8
"artifact-cool","unrelated",0.333120081274727,0
"smart-misfortune","unrelated",0.217857621238576,0.045
"pension-salary","related",0.448551636461879,0.786
"poison-statement","unrelated",0.244022840203231,0.112
"telegram-select","unrelated",0.283411912044602,0
"answer-reply","related",0.669421952866992,0.85
"motive-alibi","related",0.244694645462458,0.75
"pump-hose","related",0.408993990325898,0.743
"sensational-spectacular","related",0.656176782647783,0.8
"search-butter","unrelated",0.276336171575202,0
"phenomenon-die","unrelated",0.270665650768752,0.2
"beast-animal","related",0.520907929834005,0.9
"chemistry-biology","related",0.548415742699234,0.754
"drown-swim","related",0.5124212501794,0.2
"conspiracy-fraud","related",0.448630317907269,0.742
"typical-classic","related",0.448169625675627,0.675
"frog-lizard","related",0.465846580140952,0.8
"road-act","unrelated",0.281501912287216,0.15
"conflict-dispute","related",0.629417186937289,0.887
"useless-community","unrelated",0.258882994123605,0.049
"skirt-investigator","unrelated",0.185008981330711,0
"power-fever","unrelated",0.254591352830013,0.1
"enough-nation","unrelated",0.280955226914597,0.1
"god-divine","related",0.504404958818723,0.72
"recognize-knew","related",0.423311521099493,0.112
"ninja-handkerchief","unrelated",0.256465676334802,0.1
"frog-bedroom","unrelated",0.142509403535185,0.012
"kidney-liver","related",0.605546528210051,0.8
"prevent-orange","unrelated",0.23863089911562,0
"revelation-crime","unrelated",0.301468508979471,0.115
"single-position","unrelated",0.289359720764749,0.2
"earthquake-explosion","related",0.462607002090812,0.65
"bomb-famous","unrelated",0.301852286822609,0.1
"green-dignity","unrelated",0.137916529195699,0.073
"company-interesting","unrelated",0.315777198290978,0
"risky-dangerous","related",0.64129070156391,0.8
"bush-test","unrelated",0.246852607490145,0.1
"donkey-cigarette","unrelated",0.234091188943128,0
"fool-idiot","related",0.632161417946213,0.8
"mental-emotional","related",0.516541620810758,0.8
"month-fighter","unrelated",0.19303063801729,0.045
"curse-witch","related",0.368087954017529,0.756
"saturday-sunday","related",0.651284674644103,0.9
"stand-invest","unrelated",0.384168345488419,0.194
"tablet-pill","related",0.626036498915887,0.8
"run-walk","related",0.554143263276046,0.8
"corner-alley","related",0.549381036553094,0.723
"realize-understand","related",0.600026539201728,0.8
"west-meal","unrelated",0.233073569299342,0.02
"humble-communication","unrelated",0.256855938408529,0.112
"collect-silence","unrelated",0.264388217292611,0.1
"incident-hug","unrelated",0.217768241552244,0.135
"tool-drunk","unrelated",0.251673349840171,0.1
"compass-pregnancy","unrelated",0.155365520032337,0
"zombie-recently","unrelated",0.215570164809762,0
"pretty-beautiful","related",0.828722558679014,0.9
"exceptional-remarkable","related",0.760108827085297,0.89
"method-magazine","unrelated",0.288457528471312,0.112
"process-turtle","unrelated",0.268326540422404,0.1
"escort-landlord","unrelated",0.406773203638895,0.2
"fair-map","unrelated",0.24210366836888,0.2
"series-episode","related",0.553543750257181,0.867
