"pair","type","cosine_similarity","prompt_similarity"
"tower-building","related",0.49166199808998,0.754
"revenge-cotton","unrelated",0.109734436663554,0.005
"eliminate-worker","unrelated",0.224250682193241,0.235
"drama-comedy","related",0.613059008641992,0.845
"ideal-song","unrelated",0.218879966147547,0.245
"orchestra-band","related",0.426585988954925,0.823
"pulse-pressure","related",0.613561115643709,0.675
"carnival-worthy","unrelated",0.26919924935621,0.1
"virus-infection","related",0.53377617387818,0.895
"comfortable-horse","unrelated",0.240098748612479,0.1
"potato-guilty","unrelated",0.23979408153812,0.01
"regional-cake","unrelated",0.141520512147817,0.201
"orphanage-cause","unrelated",0.233914817841866,0.325
"illusion-additional","unrelated",0.256143024672282,0.102
"observation-throne","unrelated",0.283499061196246,0.112
"country-description","unrelated",0.309842821890813,0.342
"play-fax","unrelated",0.239632980688698,0.1
"sea-episode","unrelated",0.346137716316267,0.102
"donkey-horse","related",0.545616721943068,0.786
"hanging-execution","related",0.332075634263479,0.87
"innocent-express","unrelated",0.220888812307407,0.233
"spoon-intention","unrelated",0.237630772824598,0.045
"one-three","related",0.612569569028531,0.25
"hurricane-disturb","unrelated",0.32928203194019,0.125
"buy-meeting","unrelated",0.284553789857462,0.215
"private-rat","unrelated",0.392636888616658,0.05
"gas-fuel","related",0.596234844054188,0.921
"dynasty-empire","related",0.546626823865479,0.823
"sometimes-often","related",0.688096521960324,0.754
"firmly-emotional","unrelated",0.272493351617625,0.215
"flee-escape","related",0.519962723077997,0.912
"support-sail","unrelated",0.303843393313293,0.207
"heat-corporation","unrelated",0.136316549504595,0.045
"forgiveness-mercy","related",0.511236703991824,0.834
"naturally-billion","unrelated",0.270337669186627,0.112
"exit-entrance","related",0.476739362052853,0.845
"library-cheap","unrelated",0.332581950573746,0.12
"short-massage","unrelated",0.215489379168598,0.432
"glass-stupid","unrelated",0.233198080685403,0.1
"camp-village","related",0.351266573215419,0.678
"attention-attract","related",0.391904832508658,0.654
"engineer-voter","unrelated",0.240262532596738,0.215
"influence-triple","unrelated",0.217212711113764,0.125
"project-program","related",0.608669918877702,0.785
"ambulance-strawberry","unrelated",0.213927930146249,0.045
"congratulate-greet","related",0.551083712036377,0.75
"physics-walk","unrelated",0.229607302667251,0.102
"man-human","related",0.704929206020467,0.91
"back-return","related",0.555118416824253,0.564
"lemonade-gentle","unrelated",0.194961886262238,0.125
"explanation-glory","unrelated",0.26494550915083,0.164
"sheriff-mayor","related",0.41840110391497,0.687
"lower-upper","related",0.503484652389502,0.743
"mail-fax","related",0.547897955961687,0.74
"turn-patrol","unrelated",0.298536238342862,0.205
"birth-still","unrelated",0.266856006237479,0.2
"desk-steel","unrelated",0.306059890600085,0.25
"property-heavenly","unrelated",0.288588673230434,0.114
"sunset-dawn","related",0.498725118052654,0.823
"lip-cheek","related",0.449694665788665,0.742
"pump-assist","unrelated",0.321567654293883,0.212
"normally-dream","unrelated",0.334112798193655,0.245
"fool-store","unrelated",0.224855654411484,0.21
"absolutely-rob","unrelated",0.187501701916253,0.048
"agent-western","unrelated",0.2883317447331,0.2
"vagina-division","unrelated",0.289901128499413,0.05
"ufo-alien","related",0.447246335799018,0.85
"exit-liar","unrelated",0.233659240506692,0.045
"secretary-artificial","unrelated",0.207859317707367,0.25
"future-chew","unrelated",0.197823496362724,0.045
"sword-individual","unrelated",0.246530244035747,0.125
"rifle-letter","unrelated",0.234239570544474,0.045
"nest-last","unrelated",0.441546004518039,0.114
"clearly-obviously","related",0.766056566377066,0.75
"lasagna-path","unrelated",0.256455203551178,0.1
"deserve-specialist","unrelated",0.270678234424916,0.2
"snail-turtle","related",0.459772202507706,0.73
"coffin-funeral","related",0.5404838692203,0.87
"seminar-lecture","related",0.43599047233846,0.865
"dna-fingerprint","related",0.318012693477242,0.765
"simply-catch","unrelated",0.273259958291941,0.124
"inspire-inspiration","related",0.729188520562018,0.85
"cabin-deck","related",0.459470989274372,0.675
"atomic-nuclear","related",0.505789770337564,0.876
"hearing-carpet","unrelated",0.268857074257034,0.045
"slave-tornado","unrelated",0.222303375353981,0.05
"eternal-transfer","unrelated",0.204634822685246,0.1
"out-gift","unrelated",0.297734735162152,0.215
"scary-creepy","related",0.68294028624374,0.842
"sea-ocean","related",0.462589354747083,0.96
"propose-suggest","related",0.572645771408017,0.895
"financially-financing","related",0.577159266589926,0.864
"navigation-kingdom","unrelated",0.278523228204176,0.12
"relationship-oil","unrelated",0.263048086262489,0.24
"bring-legal","unrelated",0.262120382675719,0.21
"monkey-gorilla","related",0.539750391625306,0.872
"victory-knife","unrelated",0.19973503970156,0.092
"secret-mystery","related",0.470123797306476,0.873
"service-verify","unrelated",0.33254058262304,0.245
"disgusting-ugly","related",0.575864631465633,0.75
"spoon-fork","related",0.395108162365471,0.9
"two-fast","unrelated",0.238111856085657,0.215
"lipstick-perfume","related",0.413313221685212,0.754
"daily-donation","unrelated",0.26399628058319,0.245
"exciting-directly","unrelated",0.169872346635709,0.1
"surgeon-doctor","related",0.515718372970883,0.9
"soft-gentle","related",0.538514806104445,0.762
"hope-blue","unrelated",0.288049557905273,0.223
"earthquake-disgusting","unrelated",0.186754297661387,0.015
"word-sentence","related",0.444385190652227,0.735
"desert-valley","related",0.437198830478534,0.526
"admire-telephone","unrelated",0.158293106632963,0.12
"waste-trial","unrelated",0.297130198526998,0.245
"trash-garbage","related",0.594070900964478,1
"quantity-go","unrelated",0.328391102068948,0.2
"opposite-contrary","related",0.735547658557584,0.812
"shower-failure","unrelated",0.214450903446294,0.05
"hurricane-tornado","related",0.585740214876812,0.874
"technical-venus","unrelated",0.177881573446229,0.12
"bone-skull","related",0.405329120277447,0.877
"ill-decade","unrelated",0.200149429761143,0.12
"senior-real","unrelated",0.31107112482088,0.2
"preparation-prison","unrelated",0.303678466367607,0.205
"software-computer","related",0.560149002989614,0.9
"philosophy-married","unrelated",0.149463714339377,0.154
"elsewhere-somewhere","related",0.534445441037253,0.746
"competition-championship","related",0.414542827680509,0.859
"mother-paranormal","unrelated",0.182995590975257,0.12
"software-hungry","unrelated",0.207475200171066,0.112
"radio-rabbit","unrelated",0.410516519462524,0.045
"popular-famous","related",0.546014201236986,0.872
"expert-vodka","unrelated",0.174984241219716,0.102
"worried-nervous","related",0.467304818327012,0.874
"disgusting-pressure","unrelated",0.180346877851228,0.2
"doll-toy","related",0.558920632621941,0.867
"good-bad","related",0.612197289027116,0.876
"total-complete","related",0.629509491906062,0.823
"credit-loan","related",0.509926253303022,0.875
"bomb-explosive","related",0.543263235105758,0.943
"hotel-juliet","unrelated",0.269787112846265,0.12
"fake-explosion","unrelated",0.204442137469514,0.12
"move-cigar","unrelated",0.273447720673621,0.045
"elsewhere-criminal","unrelated",0.26386197083284,0.1
"finally-eventually","related",0.493645871056572,0.875
"anniversary-explosive","unrelated",0.251998611831956,0.05
"forgive-excuse","related",0.600940629649637,0.815
"guard-horrible","unrelated",0.166491840146219,0.095
"radar-lunch","unrelated",0.215752024277708,0.045
"noble-brave","related",0.457898504265569,0.627
"cinnamon-battalion","unrelated",0.236789297552441,0.001
"revenge-justice","related",0.371394788838298,0.742
"just-recently","related",0.46731405553757,0.22
"member-leader","related",0.638503679481591,0.742
"slow-fast","related",0.563529889035158,0.752
"ash-dust","related",0.464074949642273,0.785
"listen-mountain","unrelated",0.226037447144987,0.045
"witness-testimony","related",0.690129334330287,0.872
"nobel-prize","related",0.516955100994228,1
"secret-civilization","unrelated",0.140322199509712,0.215
"weight-helicopter","unrelated",0.227524950419046,0.215
"channel-news","related",0.332842033308447,0.742
"bible-lobster","unrelated",0.200368760128475,0.034
"invasion-attack","related",0.507775545943581,0.846
"channel-stroll","unrelated",0.165308885330976,0.115
"top-bottom","related",0.739005203037919,0.85
"rest-sleep","related",0.458819922557791,0.864
"comfortable-pleasant","related",0.550798644141822,0.672
"spinal-abdominal","related",0.43301381699205,0.71
"skirt-dress","related",0.464798813466225,0.895
"healthy-excuse","unrelated",0.241139278480763,0.112
"push-very","unrelated",0.285701484476609,0
"cover-hide","related",0.555151167312862,0.675
"value-skull","unrelated",0.213161690286079,0.125
"follow-chase","related",0.406413717148081,0.821
"monday-tuesday","related",0.662794564544887,0.95
"steal-rob","related",0.352476882202834,0.91
"big-huge","related",0.829024703205585,0.927
"frequency-calm","unrelated",0.214866542348506,0.124
"widow-woman","related",0.483484669964673,0.743
"cocaine-wire","unrelated",0.239515453008869,0.045
"voice-approval","unrelated",0.35662811744391,0.364
"eye-ear","related",0.649116778136451,0.785
"proud-excited","related",0.541288738632548,0.532
"wine-dark","unrelated",0.327103916059056,0.245
"toilet-sink","related",0.423996816263668,0.876
"agent-detective","related",0.441849137870326,0.732
"trouble-problem","related",0.539845297596727,0.85
"dig-bury","related",0.362031605890637,0.786
"arrive-come","related",0.556804657808291,0.8
"open-close","related",0.610444339568315,0.675
"briefcase-ability","unrelated",0.233248949652778,0.12
"glass-bottle","related",0.498812023496451,0.872
"parliament-freeze","unrelated",0.104515139779178,0.1
"suddenly-unexpectedly","related",0.681498419264391,0.812
"christmas-armory","unrelated",0.142208448402689,0.045
"telescope-cut","unrelated",0.177970818936334,0.056
"seller-joy","unrelated",0.278748417999813,0.145
"humble-modest","related",0.72685642774063,0.842
"surprise-scar","unrelated",0.331580993677928,0.235
"read-write","related",0.571295485585495,0.874
"pocket-alien","unrelated",0.208202898603829,0.045
"low-high","related",0.638985450424361,0.756
"iron-metal","related",0.668398209604972,0.895
"quiet-calm","related",0.628548630506289,0.785
"power-energy","related",0.604504033910728,0.873
"celebrity-star","related",0.428993044964526,0.875
"character-personality","related",0.520803464979162,0.752
"cocaine-heroin","related",0.632421924779244,0.95
"question-ask","related",0.632845163491034,0.823
"extremely-very","related",0.591171776784237,0.742
"inability-unable","related",0.666816522652495,0.8
"consider-think","related",0.731352614007965,0.872
"active-activity","related",0.580054647633603,0.842
"hate-love","related",0.373149419263793,0.85
"live-survive","related",0.42616478206942,0.754
"south-schedule","unrelated",0.208161495941942,0.205
"tank-engine","related",0.461896860193178,0.675
"button-press","related",0.524504760466445,0.75
"arsenal-armory","related",0.345566170383625,0.845
"bear-wolf","related",0.535509650870037,0.657
"hunger-thirst","related",0.647083107845478,0.762
"carbon-hydrogen","related",0.429329706114177,0.875
"princess-gather","unrelated",0.233447602851726,0.045
"late-early","related",0.646301202340518,0.6
"method-technique","related",0.544534614100518,0.873
"southern-western","related",0.482324749852401,0.682
"manage-chest","unrelated",0.268047843423605,0.1
"warning-audience","unrelated",0.292647930918515,0.23
"article-spirit","unrelated",0.309368824439299,0.112
"what-administrative","unrelated",0.207626193054384,0.15
"reporter-swim","unrelated",0.214923148243763,0.1
"tournament-match","related",0.565343742815024,0.856
"congratulate-animal","unrelated",0.167475130611756,0.05
"interrupt-bruise","unrelated",0.277928027377668,0.11
"competition-oath","unrelated",0.223777379850591,0.125
"lawyer-dance","unrelated",0.232414100202426,0.112
"dinner-breakfast","related",0.579937665137799,0.721
"amateur-rear","unrelated",0.259564510927092,0.12
"dude-democracy","unrelated",0.258592606234715,0.112
"slave-servant","related",0.59698771572115,0.678
"pound-dollar","related",0.530528399849072,0.845
"autograph-subject","unrelated",0.276282530931408,0.215
"text-poem","related",0.372715843761297,0.856
"pride-turkey","unrelated",0.235902767499561,0.125
"monk-priest","related",0.516515337290729,0.85
"gallery-drug","unrelated",0.30380483556952,0.12
"refuse-accept","related",0.419931774308762,0.215
"producer-north","unrelated",0.248163168779425,0.12
"english-reduce","unrelated",0.220108283927943,0.15
"size-length","related",0.61066081202529,0.812
"ill-sick","related",0.381423852922013,0.9
"forbidden-outcome","unrelated",0.231461024658242,0.215
"okay-yeah","related",0.574279822257665,0.75
"ring-necklace","related",0.448472854018311,0.877
"thin-thick","related",0.634116143748212,0.842
"honey-butter","related",0.526222206201077,0.682
"badge-uniform","related",0.4132628887529,0.786
"arrive-unpleasant","unrelated",0.208183420443388,0.1
"engagement-fantastic","unrelated",0.205535252745102,0.125
"climb-funding","unrelated",0.193094490193923,0.1
"advice-length","unrelated",0.261700635276364,0.125
"dragon-absence","unrelated",0.109555063941906,0.01
"ordinary-signature","unrelated",0.298927777366656,0.245
"coal-highness","unrelated",0.136798855352717,0.01
"dramatic-package","unrelated",0.286701916205837,0.125
"urgent-remember","unrelated",0.332037656648376,0.305
"impossible-university","unrelated",0.207456666671015,0.245
"strong-surface","unrelated",0.260065130893653,0.265
"career-lock","unrelated",0.230534879242702,0.105
"suffer-charming","unrelated",0.181933227815087,0.05
"model-emergency","unrelated",0.234762937187503,0.242
"capsule-probe","related",0.280200900363471,0.467
"silent-fishing","unrelated",0.163903985872186,0.1
"shark-password","unrelated",0.242319060498079,0.001
"farmer-blackmail","unrelated",0.201362871057265,0.05
"layer-let","unrelated",0.474582634487636,0.12
"helpless-powerless","related",0.768737810035608,0.856
"court-substitute","unrelated",0.310955414736628,0.253
"conservative-toy","unrelated",0.219225898538039,0.1
"bonus-sunday","unrelated",0.326642466366292,0.15
"espionage-black","unrelated",0.182375857108815,0.1
"taxi-modest","unrelated",0.23046488429042,0.022
"miserable-discussion","unrelated",0.187789865667711,0.15
"phase-small","unrelated",0.242636317101674,0.205
"goose-duck","related",0.515169933642011,0.872
"chancellor-president","related",0.473749472817332,0.782
"finger-garage","unrelated",0.278696951097451,0.065
"atomic-valley","unrelated",0.185945077611839,0.1
"shine-machine","unrelated",0.194168642203624,0.215
"arrange-organize","related",0.6538193484159,0.872
"punish-race","unrelated",0.259632747710516,0.134
"badge-knew","unrelated",0.286507553570527,0
"wall-fence","related",0.419830529108632,0.762
"imagination-fleet","unrelated",0.163536679926593,0.045
"actually-really","related",0.48005621780572,0.752
"officially-official","related",0.670235929047986,0.789
"beach-coast","related",0.540543225799466,0.866
"chain-rope","related",0.339927880884826,0.842
"dna-scandal","unrelated",0.171249215811086,0.215
"trailer-van","related",0.246745923199515,0.765
"chaos-bro","unrelated",0.262660620770588,0.075
"ignorance-arrogance","related",0.50895386582451,0.487
"hair-watson","unrelated",0.184380168845638,0.005
"climb-jump","related",0.420729130804985,0.732
"radius-perimeter","related",0.450265651336158,0.657
"widow-van","unrelated",0.256253386170223,0.045
"navigation-communication","related",0.33707324590518,0.654
"live-ship","unrelated",0.249256186920429,0.045
"protect-structure","unrelated",0.42060989704354,0.425
"universe-galaxy","related",0.501413521555681,0.85
"unit-division","related",0.583476320211607,0.754
"dynasty-tell","unrelated",0.274775816030091,0.1
"governor-jacket","unrelated",0.286083507660342,0.05
"expensive-cheap","related",0.542805864889604,0.872
"sensor-transmitter","related",0.376047770537715,0.85
"right-french","unrelated",0.270446750299006,0.245
"honey-calculate","unrelated",0.242734129356528,0
"hunting-fishing","related",0.585505945309235,0.788
"ridiculous-ear","unrelated",0.217720510959592,0.045
"unfortunate-something","unrelated",0.297482885776172,0.205
"responsibility-duty","related",0.605215215396139,0.865
"never-ever","related",0.693290153837805,0.852
"satisfied-happy","related",0.610930511223276,0.845
"superman-batman","related",0.56387532195536,0.921
"shark-fish","related",0.406094612149251,0.875
"report-cap","unrelated",0.309568753328775,0.145
"gunpowder-dynamite","related",0.416060092132403,0.875
"sugar-ever","unrelated",0.214610552780041,0.1
"lunar-solar","related",0.515189812311788,0.75
"create-produce","related",0.517273990020707,0.85
"white-black","related",0.551665654546909,0.765
"normally-usually","related",0.738497457692578,0.852
"million-billion","related",0.596159778986806,0.85
"church-prize","unrelated",0.200418953831227,0.145
"land-style","unrelated",0.158955554672685,0.2
"alone-fluid","unrelated",0.209370857461993,0.112
"glasses-hear","unrelated",0.286893135125826,0.1
"boys-girls","related",0.718709153529932,0.95
"jazz-coast","unrelated",0.238933859392922,0.215
"majority-vote","related",0.329189896384753,0.85
"lunar-raccoon","unrelated",0.263200333762466,0.045
"motive-flower","unrelated",0.180347010328998,0.1
"complaint-city","unrelated",0.218054374371766,0.245
"caliber-bullet","related",0.432432768730119,0.85
"front-really","unrelated",0.327002017252012,0.045
"ambassador-insect","unrelated",0.189136304057685,0.05
"jeep-truck","related",0.464257363345822,0.845
"culture-nervous","unrelated",0.235243452006556,0.134
"tasty-fingerprint","unrelated",0.260081850043616,0.045
"bay-harbor","related",0.426963958705874,0.854
"stick-hammer","related",0.447353479310537,0.654
"nightmare-perfume","unrelated",0.19148882292466,0.075
"dean-wealth","unrelated",0.2798680158168,0.12
"seminar-meat","unrelated",0.231831949496806,0.05
"naturally-generally","related",0.470239011171824,0.15
"equipment-equip","related",0.752635515255959,0.7
"follow-circus","unrelated",0.233527498080532,0.091
"therapy-treatment","related",0.605858894912185,0.85
"mistress-particle","unrelated",0.195814237257712,0.045
"plus-minus","related",0.554701456277723,0.75
"dessert-cake","related",0.493134424365231,0.874
"blood-urine","related",0.362448620234594,0.742
"budget-funding","related",0.518911513859262,0.872
"impression-metal","unrelated",0.228078921013276,0.112
"paradise-hell","related",0.40330630647437,0.752
"suicide-signal","unrelated",0.273615305242599,0.045
"blanket-towel","related",0.518999152525617,0.623
"question-devil","unrelated",0.24893829971018,0.045
"chancellor-technique","unrelated",0.127587926871463,0.215
"pride-dignity","related",0.590232136287143,0.763
"enough-sufficient","related",0.765378907659714,0.905
"propose-gram","unrelated",0.215222985623278,0.001
"refuge-television","unrelated",0.186148530701408,0.05
"rum-cognac","related",0.246217546449377,0.873
"marathon-race","related",0.353930294640555,0.87
"compliment-gift","related",0.402395007104851,0.629
"student-definition","unrelated",0.275721527585788,0.456
"naïve-sip","unrelated",0.173794605482114,0.1
"rhythm-style","related",0.45115412627287,0.65
"lawyer-prosecutor","related",0.503789024754404,0.842
"cinema-theater","related",0.544272500010412,0.875
"campaign-election","related",0.475788470303605,0.834
"heat-temperature","related",0.613846089133197,0.872
"poverty-misery","related",0.490789902250482,0.874
"magic-wallet","unrelated",0.323491722671752,0.1
"narrow-forever","unrelated",0.134230913184392,0.092
"popular-informant","unrelated",0.218058565461839,0.23
"room-friendship","unrelated",0.272833731536106,0.15
"chain-determination","unrelated",0.178626057645803,0.112
"operate-surgery","related",0.34036620061049,0.822
"cloth-handkerchief","related",0.481726397624687,0.865
"personal-intimate","related",0.532240900531031,0.745
"sherlock-battle","unrelated",0.239629216744351,0.045
"uncle-watch","unrelated",0.308142745153293,0.1
"combat-fight","related",0.778681237670433,0.908
"capacity-ability","related",0.562289548132131,0.725
"finance-suspect","unrelated",0.230197760627086,0.125
"spring-fork","unrelated",0.50634823724093,0.102
"africa-america","related",0.511279550001758,0.678
"idea-theory","related",0.599568466413417,0.85
"slow-government","unrelated",0.242865147622465,0.21
"learn-teach","related",0.550893381380108,0.89
"frequency-signal","related",0.41199813188607,0.625
"cook-energy","unrelated",0.210318486522058,0.125
"critical-boss","unrelated",0.319019369292224,0.325
"hostage-produce","unrelated",0.20496553091235,0.045
"project-fear","unrelated",0.266067571961621,0.21
"nothing-something","related",0.622031553329903,0.875
"member-ultimate","unrelated",0.358677465861623,0.12
"compass-map","related",0.484934980937407,0.874
"nail-tooth","related",0.519057113528192,0.5
"royal-kingdom","related",0.51403709898035,0.85
"mouse-rat","related",0.421741141279232,0.862
"tuna-temperature","unrelated",0.277635931077043,0.223
"enter-neck","unrelated",0.495793883298811,0.1
"international-world","related",0.447391341773581,0.85
"lesbian-gay","related",0.546789245274632,0.95
"trouble-senator","unrelated",0.18732535853849,0.264
"loyal-nuclear","unrelated",0.243510468621192,0.045
"area-zone","related",0.614040633401163,0.782
"genius-past","unrelated",0.192417151950722,0.112
"medical-hat","unrelated",0.354876994731202,0.103
"influence-effect","related",0.508234855551002,0.845
"extra-painter","unrelated",0.219601042307903,0.123
"sober-drunk","related",0.601809124043513,0.85
"concrete-steel","related",0.421256749329654,0.723
"hotel-motel","related",0.532382713019594,0.85
"arrival-departure","related",0.605231378365298,0.895
"interrupt-disturb","related",0.520758600403823,0.847
"box-cardinal","unrelated",0.257244594273625,0.112
"forget-remember","related",0.658501298977815,0.899
"fox-repair","unrelated",0.255834663372347,0.1
"church-chapel","related",0.526551874014989,0.847
"circle-triangle","related",0.636970506810514,0.675
"third-do","unrelated",0.264178728974791,0.075
"situation-sale","unrelated",0.311001774473694,0.465
"saturday-product","unrelated",0.266078916497703,0.12
"wall-manipulate","unrelated",0.21014317497674,0.15
"proceed-continue","related",0.614037542251126,0.845
"artifact-cool","unrelated",0.333120081274727,0.105
"smart-misfortune","unrelated",0.217808900653117,0.045
"pension-salary","related",0.448551636461879,0.756
"poison-statement","unrelated",0.244034250828452,0.15
"telegram-select","unrelated",0.283534362112392,0.1
"answer-reply","related",0.669421952866992,0.876
"motive-alibi","related",0.244745850413545,0.654
"pump-hose","related",0.408993990325898,0.786
"sensational-spectacular","related",0.656184801671249,0.731
"search-butter","unrelated",0.276348428115661,0.05
"phenomenon-die","unrelated",0.270665650768752,0.1
"beast-animal","related",0.520907929834005,0.872
"chemistry-biology","related",0.548415742699234,0.753
"drown-swim","related",0.5124212501794,0.762
"conspiracy-fraud","related",0.44861170320743,0.782
"typical-classic","related",0.448169625675627,0.724
"frog-lizard","related",0.465846580140952,0.732
"road-act","unrelated",0.281501912287216,0.2
"conflict-dispute","related",0.629251397350617,0.812
"useless-community","unrelated",0.258866891547108,0.201
"skirt-investigator","unrelated",0.185008981330711,0.102
"power-fever","unrelated",0.254591352830013,0.142
"enough-nation","unrelated",0.281008268563233,0.215
"god-divine","related",0.504376788295799,0.842
"recognize-knew","related",0.423311521099493,0.221
"ninja-handkerchief","unrelated",0.256462673684682,0.1
"frog-bedroom","unrelated",0.142509403535185,0.102
"kidney-liver","related",0.605546528210051,0.85
"prevent-orange","unrelated",0.238685735087855,0
"revelation-crime","unrelated",0.301557242525831,0.245
"single-position","unrelated",0.289359720764749,0.234
"earthquake-explosion","related",0.46264822510433,0.742
"bomb-famous","unrelated",0.301852286822609,0.15
"green-dignity","unrelated",0.137899712903709,0.105
"company-interesting","unrelated",0.315799943522841,0.15
"risky-dangerous","related",0.641286538934658,0.872
"bush-test","unrelated",0.246904585599683,0.124
"donkey-cigarette","unrelated",0.234141758238755,0.045
"fool-idiot","related",0.632184844150934,0.872
"mental-emotional","related",0.516541620810758,0.794
"month-fighter","unrelated",0.19303063801729,0.058
"curse-witch","related",0.368087954017529,0.752
"saturday-sunday","related",0.651284674644103,0.9
"stand-invest","unrelated",0.384217653921764,0.305
"tablet-pill","related",0.626036498915887,0.765
"run-walk","related",0.553987614492591,0.872
"corner-alley","related",0.549173200532386,0.745
"realize-understand","related",0.600040651577979,0.853
"west-meal","unrelated",0.233060434253086,0.112
"humble-communication","unrelated",0.256855938408529,0.273
"collect-silence","unrelated",0.264331822911346,0.12
"incident-hug","unrelated",0.217768241552244,0.112
"tool-drunk","unrelated",0.251687393763093,0.125
